AMIE,NOMBRE,PROVINCIA,CANTON,LAT,LON,MD,M,JE
19H00618,UNIDAD EDUCATIVA DEL MILENIO GUAYZIMI,ZAMORA CHINCHIPE,NANGARITZA,-4.04950618012,-78.6831943853,5836.520000000001,3056,5748.0
21H00084,UNIDAD EDUCATIVA SANTOS AVELINO SANCHEZ,SUCUMBIOS,LAGO AGRIO,0.0767119622974,-76.9177053997,5836.520000000001,3056,5748.0
21H00105,UNIDAD EDUCATIVA REPUBLICA DE CANADA,SUCUMBIOS,LAGO AGRIO,0.0913834300847,-76.8926458732,11673.040000000003,6112,0.0
21H00128,UNIDAD EDUCATIVA LAGO AGRIO,SUCUMBIOS,LAGO AGRIO,0.0855537850598,-76.8825120746,8754.780000000002,4584,5748.0
21H00129,UNIDAD EDUCATIVA LEOPOLDO LUCERO,SUCUMBIOS,LAGO AGRIO,0.0869609308001,-76.8798130731,11673.040000000003,6112,5748.0
21H00132,UNIDAD EDUCATIVA CONSEJO PROVINCIAL DE NAPO,SUCUMBIOS,LAGO AGRIO,0.08601884071,-76.8938516118,17509.560000000005,9168,5748.0
21H00138,UNIDAD EDUCATIVA EJERCITO ECUATORIANO,SUCUMBIOS,LAGO AGRIO,0.0794621737588,-76.8860839004,8754.780000000002,4584,5748.0
21H00142,UNIDAD EDUCATIVA NAPO,SUCUMBIOS,LAGO AGRIO,0.0857173398073,-76.8979220849,17509.560000000005,9168,0.0
21H00223,VASCO NUÑEZ DE BALBOA,SUCUMBIOS,LAGO AGRIO,0.189939002891,-76.8103667978,5836.520000000001,3056,0.0
21H00226,UNIDAD EDUCATIVA DEL MILENIO RAFAEL RODRIGUEZ PALACIOS,SUCUMBIOS,LAGO AGRIO,0.231690333783,-76.8476136824,5836.520000000001,3056,5748.0
21H00306,UNIDAD EDUCATIVA TIWINTZA,SUCUMBIOS,LAGO AGRIO,-0.0417988005442,-76.5844509359,5836.520000000001,3056,5748.0
21H00308,CARLOS AZUERO AÑAZCO,SUCUMBIOS,LAGO AGRIO,0.246983364534,-76.5576507269,5836.520000000001,3056,5748.0
21H00321,UNIDAD EDUCATIVA PACAYACU,SUCUMBIOS,LAGO AGRIO,-0.0405187693967,-76.5892219605,8754.780000000002,4584,5748.0
21H00332,UNIDAD EDUCATIVA JAMBELI,SUCUMBIOS,LAGO AGRIO,0.0875112100318,-77.0743434047,5836.520000000001,3056,0.0
21H00343,UNIDAD EDUCATIVA DOCTORA IRENE GUERRON,SUCUMBIOS,LAGO AGRIO,0.0916328553245,-76.9508513453,5836.520000000001,3056,0.0
21H00358,UNIDAD EDUCATIVA ISLA SAN CRISTOBAL,SUCUMBIOS,LAGO AGRIO,0.119113581984,-77.0121298098,5836.520000000001,3056,5748.0
21H00362,EL REVENTADOR,SUCUMBIOS,GONZALO PIZARRO,-0.0500277728369,-77.5256111116,5836.520000000001,3056,5748.0
21H00383,UNIDAD EDUCATIVA DEL MILENIO LUMBAQUI,SUCUMBIOS,GONZALO PIZARRO,0.0488806810209,-77.3236809783,11673.040000000003,6112,5748.0
21H00494,ESCUELA DE EDUCACIÓN GENERAL BÁSICA ANGEL ALMEIDA,SUCUMBIOS,SHUSHUFINDI,-0.199685115812,-76.6297937121,2918.2600000000007,1528,0.0
21H00502,UNIDAD EDUCATIVA SHUSHUFINDI,SUCUMBIOS,SHUSHUFINDI,-0.181240875493,-76.6436155663,5836.520000000001,3056,5748.0
21H00521,UNIDAD EDUCATIVA SAN JUAN BAUTISTA DE LA SALLE,SUCUMBIOS,SHUSHUFINDI,-0.191101893299,-76.6477888201,5836.520000000001,3056,5748.0
21H00535,UNIDAD EDUCATIVA FRANCISCO JAVIER PEÑARRETA,SUCUMBIOS,SHUSHUFINDI,-0.184706285535,-76.6407815005,8754.780000000002,4584,0.0
21H00578,UNIDAD EDUCATIVA DEL MILENIO PEDRO VICENTE MALDONADO,SUCUMBIOS,SHUSHUFINDI,-0.451159348802,-76.0712027935,5836.520000000001,3056,5748.0
21H00586,UNIDAD EDUCATIVA HNA INES ARANGO VELASQUEZ,SUCUMBIOS,SHUSHUFINDI,-0.322198265312,-76.4890298585,5836.520000000001,3056,0.0
21H00587,UNIDAD EDUCATIVA RIO YASUNI,SUCUMBIOS,SHUSHUFINDI,-0.296287816269,-76.3625262922,5836.520000000001,3056,5748.0
21H00594,UNIDAD EDUCATIVA JUAN MONTALVO,SUCUMBIOS,SHUSHUFINDI,-0.303588022036,-76.5399749655,5836.520000000001,3056,5748.0
21H00621,UNIDAD EDUCATIVA CIUDAD DE PORTOVIEJO,SUCUMBIOS,SHUSHUFINDI,-0.184361122437,-76.7847221987,5836.520000000001,3056,0.0
22H00054,UNIDAD EDUCATIVA DAVID CLARK,ORELLANA,ORELLANA,-0.502464012191,-76.9551062916,5836.520000000001,3056,5748.0
22H00056,24 DE MARZO,ORELLANA,ORELLANA,-0.445223250423,-76.9941389018,2918.2600000000007,1528,5748.0
22H00064,UNIDAD EDUCATIVA PRESIDENTE TAMAYO,ORELLANA,ORELLANA,-0.472584016183,-76.9851666908,17509.560000000005,9168,5748.0
22H00068,ENRIQUE CASTILLO,ORELLANA,ORELLANA,-0.446110719066,-77.0001583226,5836.520000000001,3056,5748.0
22H00109,UNIDAD EDUCATIVA ARTURO BORJA,ORELLANA,ORELLANA,-0.451762384001,-77.0286277174,5836.520000000001,3056,5748.0
22H00145,UNIDAD EDUCATIVA CIUDAD DE COCA,ORELLANA,ORELLANA,-0.454478518075,-76.9897644877,8754.780000000002,4584,5748.0
22H00147,UNIDAD EDUCATIVA VICTOR SERGIO RON VEGA,ORELLANA,ORELLANA,-0.469328308248,-76.9916909122,5836.520000000001,3056,5748.0
22H00150,AMAZONAS,ORELLANA,ORELLANA,-0.465999916363,-76.9928138217,23346.080000000005,12224,5748.0
22H00152,UNIDAD EDUCATIVA TIGUINO,ORELLANA,ORELLANA,-1.09332816937,-76.9336726882,5836.520000000001,3056,5748.0
